time,InternalGainsRad[sou],InternalGainsCon[sou],InternalGainsLat[sou],InternalGainsRad[eas],InternalGainsCon[eas],InternalGainsLat[eas],InternalGainsRad[nor],InternalGainsCon[nor],InternalGainsLat[nor],InternalGainsRad[wes],InternalGainsCon[wes],InternalGainsLat[wes],InternalGainsRad[cor],InternalGainsCon[cor],InternalGainsLat[cor],LowerSetp[eas],UpperSetp[eas],UpperCO2[eas],LowerSetp[cor],UpperSetp[cor],UpperCO2[cor],LowerSetp[wes],UpperSetp[wes],UpperCO2[wes],LowerSetp[nor],UpperSetp[nor],UpperCO2[nor],LowerSetp[sou],UpperSetp[sou],UpperCO2[sou],Occupancy[wes],Occupancy[eas],Occupancy[cor],Occupancy[sou],Occupancy[nor]
8921700,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8922600,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8923500,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8924400,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8925300,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8926200,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8927100,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8928000,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0
8928900,435.91800000000006,435.91800000000006,217.95900000000003,275.97360000000003,275.97360000000003,137.98680000000002,435.91800000000006,435.91800000000006,217.95900000000003,275.97360000000003,275.97360000000003,137.98680000000002,2067.8112,2067.8112,1033.9056,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,1,1,12,2,2
8929800,788.804,788.804,394.402,499.38079999999997,499.38079999999997,249.69039999999998,788.804,788.804,394.402,499.38079999999997,499.38079999999997,249.69039999999998,3741.7536,3741.7536,1870.8768,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,3,3,23,4,4
8930700,1141.69,1141.69,570.845,722.788,722.788,361.394,1141.69,1141.69,570.845,722.788,722.788,361.394,5415.696,5415.696,2707.848,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,4,4,33,7,7
8931600,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8932500,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8933400,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8934300,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8935200,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8936100,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8937000,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8937900,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8938800,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8939700,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8940600,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8941500,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.638400000001,7089.638400000001,3544.8192000000004,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9
8942400,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,6301.9008,6301.9008,3150.9504,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,39,8,8
8943300,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,6301.9008,6301.9008,3150.9504,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,39,8,8
8944200,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,6301.9008,6301.9008,3150.9504,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,39,8,8
8945100,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,1328.5120000000002,1328.5120000000002,664.2560000000001,841.0624,841.0624,420.5312,6301.9008,6301.9008,3150.9504,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,39,8,8
8946000,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8946900,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8947800,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8948700,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8949600,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8950500,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8951400,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8952300,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8953200,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8954100,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8955000,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8955900,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8956800,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8957700,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8958600,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8959500,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8960400,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10
8961300,1473.818,1473.818,736.909,933.0536,933.0536,466.5268,1473.818,1473.818,736.909,933.0536,933.0536,466.5268,6991.1712,6991.1712,3495.5856,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,43,9,9
8962200,1286.996,1286.996,643.498,814.7792000000001,814.7792000000001,407.38960000000003,1286.996,1286.996,643.498,814.7792000000001,814.7792000000001,407.38960000000003,6104.9664,6104.9664,3052.4832,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,38,8,8
8963100,1100.174,1100.174,550.087,696.5047999999999,696.5047999999999,348.25239999999997,1100.174,1100.174,550.087,696.5047999999999,696.5047999999999,348.25239999999997,5218.7616,5218.7616,2609.3808,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,4,4,32,6,6
8964000,913.3520000000001,913.3520000000001,456.67600000000004,578.2304,578.2304,289.1152,913.3520000000001,913.3520000000001,456.67600000000004,578.2304,578.2304,289.1152,4332.5568,4332.5568,2166.2784,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,3,3,27,5,5
8964900,726.5300000000001,726.5300000000001,363.26500000000004,459.956,459.956,229.978,726.5300000000001,726.5300000000001,363.26500000000004,459.956,459.956,229.978,3446.352,3446.352,1723.176,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,2,2,21,4,4
8965800,539.7080000000001,539.7080000000001,269.85400000000004,341.6816,341.6816,170.8408,539.7080000000001,539.7080000000001,269.85400000000004,341.6816,341.6816,170.8408,2560.1472000000003,2560.1472000000003,1280.0736000000002,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,2,2,16,3,3
8966700,352.886,352.886,176.443,223.4072,223.4072,111.7036,352.886,352.886,176.443,223.4072,223.4072,111.7036,1673.9424,1673.9424,836.9712,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,1,1,10,2,2
8967600,166.06400000000002,166.06400000000002,83.03200000000001,105.1328,105.1328,52.5664,166.06400000000002,166.06400000000002,83.03200000000001,105.1328,105.1328,52.5664,787.7376,787.7376,393.8688,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,1,1
8968500,161.91240000000002,161.91240000000002,80.95620000000001,102.50448,102.50448,51.25224,161.91240000000002,161.91240000000002,80.95620000000001,102.50448,102.50448,51.25224,768.04416,768.04416,384.02208,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,1,1
8969400,157.76080000000002,157.76080000000002,78.88040000000001,99.87616,99.87616,49.93808,157.76080000000002,157.76080000000002,78.88040000000001,99.87616,99.87616,49.93808,748.35072,748.35072,374.17536,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8970300,153.60920000000002,153.60920000000002,76.80460000000001,97.24784,97.24784,48.62392,153.60920000000002,153.60920000000002,76.80460000000001,97.24784,97.24784,48.62392,728.65728,728.65728,364.32864,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8971200,149.4576,149.4576,74.7288,94.61952,94.61952,47.30976,149.4576,149.4576,74.7288,94.61952,94.61952,47.30976,708.96384,708.96384,354.48192,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8972100,145.306,145.306,72.653,91.99119999999999,91.99119999999999,45.995599999999996,145.306,145.306,72.653,91.99119999999999,91.99119999999999,45.995599999999996,689.2704,689.2704,344.6352,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8973000,141.1544,141.1544,70.5772,89.36288,89.36288,44.68144,141.1544,141.1544,70.5772,89.36288,89.36288,44.68144,669.5769600000001,669.5769600000001,334.78848000000005,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8973900,137.0028,137.0028,68.5014,86.73456,86.73456,43.36728,137.0028,137.0028,68.5014,86.73456,86.73456,43.36728,649.8835200000001,649.8835200000001,324.94176000000004,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,4,0,0
8974800,132.8512,132.8512,66.4256,84.10624,84.10624,42.05312,132.8512,132.8512,66.4256,84.10624,84.10624,42.05312,630.1900800000001,630.1900800000001,315.09504000000004,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8975700,128.6996,128.6996,64.3498,81.47792,81.47792,40.73896,128.6996,128.6996,64.3498,81.47792,81.47792,40.73896,610.49664,610.49664,305.24832,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8976600,124.548,124.548,62.274,78.8496,78.8496,39.4248,124.548,124.548,62.274,78.8496,78.8496,39.4248,590.8032,590.8032,295.4016,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8977500,120.3964,120.3964,60.1982,76.22128,76.22128,38.11064,120.3964,120.3964,60.1982,76.22128,76.22128,38.11064,571.1097599999999,571.1097599999999,285.55487999999997,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8978400,116.24480000000001,116.24480000000001,58.122400000000006,73.59296,73.59296,36.79648,116.24480000000001,116.24480000000001,58.122400000000006,73.59296,73.59296,36.79648,551.41632,551.41632,275.70816,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8979300,112.09320000000001,112.09320000000001,56.046600000000005,70.96464,70.96464,35.48232,112.09320000000001,112.09320000000001,56.046600000000005,70.96464,70.96464,35.48232,531.72288,531.72288,265.86144,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8980200,107.94160000000001,107.94160000000001,53.970800000000004,68.33632,68.33632,34.16816,107.94160000000001,107.94160000000001,53.970800000000004,68.33632,68.33632,34.16816,512.02944,512.02944,256.01472,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8981100,103.79,103.79,51.895,65.708,65.708,32.854,103.79,103.79,51.895,65.708,65.708,32.854,492.336,492.336,246.168,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,3,0,0
8982000,99.6384,99.6384,49.8192,63.079679999999996,63.079679999999996,31.539839999999998,99.6384,99.6384,49.8192,63.079679999999996,63.079679999999996,31.539839999999998,472.64256,472.64256,236.32128,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8982900,95.48680000000002,95.48680000000002,47.74340000000001,60.45136,60.45136,30.22568,95.48680000000002,95.48680000000002,47.74340000000001,60.45136,60.45136,30.22568,452.94912000000005,452.94912000000005,226.47456000000003,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8983800,91.3352,91.3352,45.6676,57.82304,57.82304,28.91152,91.3352,91.3352,45.6676,57.82304,57.82304,28.91152,433.25568000000004,433.25568000000004,216.62784000000002,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8984700,87.1836,87.1836,43.5918,55.19472,55.19472,27.59736,87.1836,87.1836,43.5918,55.19472,55.19472,27.59736,413.56224,413.56224,206.78112,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8985600,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8986500,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8987400,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8988300,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8989200,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8990100,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8991000,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8991900,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8992800,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8993700,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8994600,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8995500,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8996400,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8997300,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8998200,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
8999100,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
9000000,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
9000900,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
9001800,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,83.03200000000001,83.03200000000001,41.516000000000005,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0
